TestSponsor,SystemName,Parallel,BaseCopies,EnabledCores,EnabledChips,Threads/Core,Base,Peak,EnergyBase,EnergyPeak
Cisco Systems,Cisco UCS C225 M6 (AMD EPYC 7543P 32-Core),Yes,32,32,1,1,12.6&nbsp;,12.6&nbsp;,--,--
Cisco Systems,Cisco UCS C225 M6 (AMD EPYC 7252 8-Core),Yes,8,8,1,2,8.10,8.13,--,--
Cisco Systems,"Cisco UCS X210c M6 (Intel Xeon Silver 4310, 2.10GHz)",Yes,24,24,2,1,10.6&nbsp;,Not Run,--,--
Cisco Systems,"Cisco UCS X210c M6 (Intel Xeon Silver 4314, 2.40GHz)",Yes,32,32,2,1,11.2&nbsp;,Not Run,--,--
Cisco Systems,"Cisco UCS X210c M6 (Intel Xeon Gold 5317, 3.00GHz)",Yes,24,24,2,1,11.5&nbsp;,Not Run,--,--
Cisco Systems,"Cisco UCS X210c M6 (Intel Xeon Gold 5318S, 2.10GHz)",Yes,48,48,2,1,11.5&nbsp;,Not Run,--,--
Cisco Systems,"Cisco UCS X210c M6 (Intel Xeon Platinum 8351N, 2.40GHz)",Yes,36,36,1,1,11.8&nbsp;,Not Run,--,--
Cisco Systems,"Cisco UCS X210c M6 (Intel Xeon Platinum 8352V, 2.10GHz)",Yes,72,72,2,1,11.8&nbsp;,Not Run,--,--
Cisco Systems,"Cisco UCS X210c M6 (Intel Xeon Platinum 8362, 2.80GHz)",Yes,64,64,2,1,12.1&nbsp;,Not Run,--,--
Cisco Systems,"Cisco UCS X210c M6 (Intel Xeon Gold 5318N, 2.10GHz)",Yes,48,48,2,1,11.4&nbsp;,Not Run,--,--
Cisco Systems,"Cisco UCS X210c M6 (Intel Xeon Gold 5315Y, 3.20GHz)",Yes,16,16,2,1,11.1&nbsp;,Not Run,--,--
Cisco Systems,"Cisco UCS X210c M6 (Intel Xeon Silver 4310T, 2.30GHz)",Yes,20,20,2,1,10.7&nbsp;,Not Run,--,--
Cisco Systems,"Cisco UCS X210c M6 (Intel Xeon Platinum 8352Y, 2.20GHz)",Yes,64,64,2,1,11.6&nbsp;,Not Run,--,--
Cisco Systems,"Cisco UCS X210c M6 (Intel Xeon Silver 4316, 2.30GHz)",Yes,40,40,2,1,11.4&nbsp;,Not Run,--,--
Cisco Systems,"Cisco UCS X210c M6 (Intel Xeon Silver 4309Y, 2.80GHz)",Yes,16,16,2,1,11.0&nbsp;,Not Run,--,--
Cisco Systems,"Cisco UCS X210c M6 (Intel Xeon Gold 6314U, 2.30GHz)",Yes,32,32,1,1,11.6&nbsp;,Not Run,--,--
Cisco Systems,"Cisco UCS X210c M6 (Intel Xeon Gold 5320, 2.20GHz)",Yes,52,52,2,1,11.5&nbsp;,Not Run,--,--
Cisco Systems,"Cisco UCS X210c M6 (Intel Xeon Platinum 8352M, 2.30GHz)",Yes,64,64,2,1,11.8&nbsp;,Not Run,--,--
Cisco Systems,"Cisco UCS X210c M6 (Intel Xeon Platinum 8368Q, 2.60GHz)",Yes,76,76,2,1,12.5&nbsp;,Not Run,--,--
Cisco Systems,"Cisco UCS X210c M6 (Intel Xeon Gold 6312U, 2.40GHz)",Yes,24,24,1,1,12.0&nbsp;,Not Run,--,--
Cisco Systems,Cisco UCS C225 M6 (AMD EPYC 7473X),Yes,24,24,1,1,13.0&nbsp;,13.1&nbsp;,--,--
Cisco Systems,Cisco UCS C225 M6 (AMD EPYC 7573X),Yes,32,32,1,1,12.7&nbsp;,12.8&nbsp;,--,--
Cisco Systems,Cisco UCS C245 M6 (AMD EPYC 7473X),Yes,48,48,2,1,13.1&nbsp;,13.2&nbsp;,--,--
Cisco Systems,Cisco UCS C225 M6 (AMD EPYC 7373X),Yes,16,16,1,1,13.2&nbsp;,13.4&nbsp;,--,--
Cisco Systems,Cisco UCS C245 M6 (AMD EPYC 7373X),Yes,32,32,2,1,13.4&nbsp;,13.5&nbsp;,--,--
Cisco Systems,Cisco UCS C245 M6 (AMD EPYC 7573X),Yes,64,64,2,1,12.7&nbsp;,12.9&nbsp;,--,--
Cisco Systems,Cisco UCS C245 M6 (AMD EPYC 7573X),Yes,32,32,1,1,12.6&nbsp;,12.8&nbsp;,--,--
Cisco Systems,Cisco UCS C245 M6 (AMD EPYC 7373X),Yes,16,16,1,1,13.2&nbsp;,13.4&nbsp;,--,--
Cisco Systems,Cisco UCS C245 M6 (AMD EPYC 7473X),Yes,24,24,1,1,13.0&nbsp;,13.1&nbsp;,--,--
Cisco Systems,Cisco UCS C245 M6 (AMD EPYC 7453 28-core),Yes,56,56,2,1,11.0&nbsp;,11.2&nbsp;,--,--
Cisco Systems,Cisco UCS C245 M6 (AMD EPYC 7513 32-core) Processor),Yes,64,64,2,1,12.3&nbsp;,12.5&nbsp;,--,--
Cisco Systems,Cisco UCS C225 M6 (AMD EPYC 7343 16-core) Processor),Yes,32,32,2,1,13.0&nbsp;,13.2&nbsp;,--,--
Cisco Systems,Cisco UCS C245 M6 (AMD EPYC 7343 16-core) Processor),Yes,32,32,2,1,13.1&nbsp;,13.3&nbsp;,--,--
Cisco Systems,Cisco UCS C245 M6 (AMD EPYC 7262 8-core) Processor),Yes,16,16,2,1,8.60,8.72,--,--
Cisco Systems,Cisco UCS C225 M6 (AMD EPYC 7513 32-core) Processor),Yes,64,64,2,1,12.0&nbsp;,12.1&nbsp;,--,--
Cisco Systems,Cisco UCS C225 M6 (AMD EPYC 7262 8-core) Processor),Yes,16,16,2,1,8.55,8.71,--,--
Cisco Systems,Cisco UCS C225 M6 (AMD EPYC 7373X),Yes,32,32,2,1,13.3&nbsp;,13.5&nbsp;,--,--
Cisco Systems,Cisco UCS C225 M6 (AMD EPYC 7473X),Yes,48,48,2,1,13.1&nbsp;,13.2&nbsp;,--,--
Cisco Systems,Cisco UCS C225 M6 (AMD EPYC 7573X),Yes,64,64,2,1,12.7&nbsp;,12.9&nbsp;,--,--
Cisco Systems,Cisco UCS C225 M6 (AMD EPYC 7773X),Yes,128,128,2,1,12.3&nbsp;,12.5&nbsp;,--,--
Cisco Systems,Cisco UCS C225 M6 (AMD EPYC 7513 32-core),Yes,64,64,2,1,12.3&nbsp;,12.5&nbsp;,--,--
Cisco Systems,Cisco UCS C225 M6 (AMD EPYC 7282 16-core),Yes,32,32,2,1,8.54,8.65,--,--
Cisco Systems,Cisco UCS C225 M6 (AMD EPYC 7662),Yes,128,128,2,1,8.77,8.87,--,--
Dell Inc,"PowerEdge MX740c (Intel Xeon Gold 6242R, 3.10 GHz)",Yes,80,40,2,2,11.3&nbsp;,11.5&nbsp;,--,--
Dell Inc,"PowerEdge MX740c (Intel Xeon Gold 6248R, 3.00 GHz)",Yes,96,48,2,2,11.1&nbsp;,11.3&nbsp;,--,--
Dell Inc,"PowerEdge MX740c (Intel Xeon Gold 6240R, 2.40 GHz)",Yes,96,48,2,2,11.5&nbsp;,11.8&nbsp;,--,--
Dell Inc,"PowerEdge MX740c (Intel Xeon Gold 6258R, 2.70 GHz)",Yes,112,56,2,2,11.2&nbsp;,11.4&nbsp;,--,--
Dell Inc,"PowerEdge R540 (Intel Xeon Silver 4210R, 2.4 GHz)",Yes,20,20,2,1,8.68,8.84,--,--
Dell Inc,"PowerEdge R540 (Intel Xeon Bronze 3206R, 1.90 GHz)",Yes,16,16,2,1,5.48,5.60,--,--
Dell Inc,"PowerEdge R540 (Intel Xeon Silver 4215, 2.5 GHz)",Yes,16,16,2,1,9.28,9.46,--,--
Dell Inc,"PowerEdge T440 (Intel Xeon Silver 4215, 2.5 GHz)",Yes,16,16,2,1,9.26,9.45,--,--
Dell Inc,"PowerEdge T440 (Intel Xeon Bronze 3206R, 1.90 GHz)",Yes,16,16,2,1,4.84,4.92,--,--
Dell Inc,"PowerEdge R440 (Intel Xeon Silver 4210R, 2.4 GHz)",Yes,20,20,2,1,8.62,8.83,--,--
Dell Inc,"PowerEdge R440 (Intel Xeon Silver 4214R, 2.4 GHz)",Yes,24,24,2,1,9.54,9.77,--,--
Dell Inc,PowerEdge R540 (Intel Xeon Silver 4215R 3.2 GHz),Yes,16,16,2,1,10.1&nbsp;,10.3&nbsp;,--,--
Dell Inc,"PowerEdge R540 (Intel Xeon Silver 4214R, 2.40 GHz)",Yes,24,24,2,1,9.56,9.76,--,--
Dell Inc,"PowerEdge R540 (Intel Xeon Silver 4215R, 3.2 GHz)",Yes,16,16,2,1,10.1&nbsp;,10.3&nbsp;,--,--
Dell Inc.,"PowerEdge R940 (Intel Xeon Platinum 8180, 2.50 GHz)",Yes,112,112,4,1,9.33,9.59,--,--
Dell Inc.,"PowerEdge R940 (Intel Xeon Gold 6144, 3.50 GHz)",Yes,32,32,4,1,9.76,10.0&nbsp;,--,--
Dell Inc.,"PowerEdge R940 (Intel Xeon Platinum 8153, 2.00 GHz)",Yes,64,64,4,1,6.98,7.19,--,--
Dell Inc.,"PowerEdge R940 (Intel Xeon Platinum 8156, 3.60 GHz)",Yes,16,16,4,1,8.48,8.72,--,--
Dell Inc.,"PowerEdge R940 (Intel Xeon Platinum 8158, 3.00 GHz)",Yes,48,48,4,1,8.87,9.11,--,--
Dell Inc.,"PowerEdge R940 (Intel Xeon Platinum 8160, 2.10 GHz)",Yes,96,96,4,1,9.03,9.30,--,--
Dell Inc.,"PowerEdge R940 (Intel Xeon Platinum 8164, 2.00 GHz)",Yes,104,104,4,1,9.09,9.34,--,--
Dell Inc.,"PowerEdge R940 (Intel Xeon Platinum 8168, 2.70 GHz)",Yes,96,96,4,1,9.00,9.32,--,--
Dell Inc.,"PowerEdge R940 (Intel Xeon Platinum 8170, 2.10 GHz)",Yes,104,104,4,1,9.09,9.34,--,--
Dell Inc.,"PowerEdge R940 (Intel Xeon Platinum 8176, 2.10 GHz)",Yes,112,112,4,1,9.32,9.62,--,--
Dell Inc.,"PowerEdge R940 (Intel Xeon Gold 6154, 3.00 GHz)",Yes,72,72,4,1,8.84,9.15,--,--
Dell Inc.,"PowerEdge R940 (Intel Xeon Gold 6126, 2.60 GHz)",Yes,48,48,4,1,8.69,8.95,--,--
Dell Inc.,"PowerEdge R940 (Intel Xeon Gold 6128, 3.40 GHz)",Yes,24,24,4,1,8.64,8.88,--,--
Dell Inc.,"PowerEdge R940 (Intel Xeon Gold 6130, 2.10 GHz)",Yes,64,64,4,1,8.78,9.07,--,--
Dell Inc.,"PowerEdge R940 (Intel Xeon Gold 6132, 2.60 GHz)",Yes,56,56,4,1,8.66,8.97,--,--
Dell Inc.,"PowerEdge R940 (Intel Xeon Gold 6134, 3.20 GHz)",Yes,32,32,4,1,8.83,9.09,--,--
Dell Inc.,"PowerEdge R940 (Intel Xeon Gold 6136, 3.00 GHz)",Yes,48,48,4,1,8.85,9.11,--,--
Dell Inc.,"PowerEdge R940 (Intel Xeon Gold 6138, 2.00 GHz)",Yes,80,80,4,1,8.91,9.16,--,--
Dell Inc.,"PowerEdge R940 (Intel Xeon Gold 6140, 2.30 GHz)",Yes,72,72,4,1,8.87,9.13,--,--
Dell Inc.,"PowerEdge R940 (Intel Xeon Gold 6142, 2.60 GHz)",Yes,64,64,4,1,8.83,9.07,--,--
Dell Inc.,"PowerEdge R940 (Intel Xeon Gold 6148, 2.40 GHz)",Yes,80,80,4,1,8.91,9.21,--,--
Dell Inc.,"PowerEdge R940 (Intel Xeon Gold 6150, 2.70 GHz)",Yes,72,72,4,1,8.83,9.11,--,--
Dell Inc.,"PowerEdge R940 (Intel Xeon Gold 6152, 2.10 GHz)",Yes,88,88,4,1,8.98,9.27,--,--
Dell Inc.,"PowerEdge C6420 (Intel Xeon Gold 5122, 3.60 GHz)",Yes,16,8,2,2,8.34,Not Run,--,--
Dell Inc.,"PowerEdge C6420 (Intel Xeon Gold 6144, 3.50 GHz)",Yes,32,16,2,2,9.63,Not Run,--,--
Dell Inc.,"PowerEdge C6420 (Intel Xeon Gold 6142, 2.60 GHz)",Yes,64,32,2,2,8.71,Not Run,--,--
Dell Inc.,"PowerEdge C6420 (Intel Xeon Platinum 8180M, 2.50 GHz)",Yes,112,56,2,2,9.15,Not Run,--,--
Dell Inc.,"PowerEdge C6420 (Intel Xeon Platinum 8164, 2.00 GHz)",Yes,104,52,2,2,8.98,Not Run,--,--
Dell Inc.,"PowerEdge C6420 (Intel Xeon Gold 6152, 2.10 GHz)",Yes,88,44,2,2,8.91,Not Run,--,--
Dell Inc.,"PowerEdge C6420 (Intel Xeon Gold 6140, 2.30 GHz)",Yes,72,36,2,2,8.82,Not Run,--,--
Dell Inc.,"PowerEdge C6420 (Intel Xeon Gold 6136, 3.00 GHz)",Yes,48,24,2,2,8.80,Not Run,--,--
Dell Inc.,"PowerEdge C6420 (Intel Xeon Gold 5118, 2.30 GHz)",Yes,48,24,2,2,7.52,Not Run,--,--
Dell Inc.,"PowerEdge C6420 (Intel Xeon Silver 4114, 2.20 GHz)",Yes,40,20,2,2,6.96,Not Run,--,--
Dell Inc.,"PowerEdge C6420 (Intel Xeon Silver 4112, 2.60 GHz)",Yes,16,8,2,2,6.69,Not Run,--,--
Dell Inc.,"PowerEdge C6420 (Intel Xeon Bronze 3106, 1.70 GHz)",Yes,16,16,2,1,4.17,Not Run,--,--
Dell Inc.,"PowerEdge C6420 (Intel Xeon Bronze 3104, 1.70 GHz)",Yes,12,12,2,1,3.93,Not Run,--,--
Dell Inc.,"PowerEdge C6420 (Intel Xeon Platinum 8180, 2.50 GHz)",Yes,112,56,2,2,9.22,Not Run,--,--
Dell Inc.,"PowerEdge C6420 (Intel Xeon Gold 6138T, 2.00 GHz)",Yes,80,40,2,2,8.84,Not Run,--,--
Dell Inc.,"PowerEdge C6420 (Intel Xeon Gold 6134, 3.20 GHz)",Yes,32,16,2,2,8.78,Not Run,--,--
Dell Inc.,"PowerEdge C6420 (Intel Xeon Gold 6130, 2.10 GHz)",Yes,64,32,2,2,8.76,Not Run,--,--
Dell Inc.,"PowerEdge C6420 (Intel Xeon Gold 6126, 2.60 GHz)",Yes,48,24,2,2,6.41,Not Run,--,--
Dell Inc.,"PowerEdge C6420 (Intel Xeon Gold 5120, 2.20 GHz)",Yes,56,28,2,2,7.59,Not Run,--,--
Dell Inc.,"PowerEdge FC640 (Intel Xeon Silver 4109T, 2.00 GHz)",Yes,32,16,2,2,6.89,Not Run,--,--
Dell Inc.,"PowerEdge FC640 (Intel Xeon Platinum 8153, 2.00 GHz)",Yes,64,32,2,2,6.80,Not Run,--,--
Dell Inc.,"PowerEdge FC640 (Intel Xeon Bronze 3104, 1.70 GHz)",Yes,12,12,2,1,4.05,Not Run,--,--
Dell Inc.,"PowerEdge FC640 (Intel Xeon Silver 4112, 2.60 GHz)",Yes,16,8,2,2,6.72,Not Run,--,--
Dell Inc.,"PowerEdge FC640 (Intel Xeon Silver 4114, 2.20 GHz)",Yes,40,20,2,2,7.07,Not Run,--,--
Dell Inc.,"PowerEdge FC640 (Intel Xeon Silver 4116, 2.10 GHz)",Yes,48,24,2,2,7.12,Not Run,--,--
Dell Inc.,"PowerEdge FC640 (Intel Xeon Gold 5118, 2.30 GHz)",Yes,48,24,2,2,7.58,Not Run,--,--
Dell Inc.,"PowerEdge FC640 (Intel Xeon Gold 6128, 3.40 GHz)",Yes,24,12,2,2,8.51,Not Run,--,--
Dell Inc.,"PowerEdge FC640 (Intel Xeon Gold 6132, 2.60 GHz)",Yes,56,28,2,2,8.71,Not Run,--,--
Dell Inc.,"PowerEdge FC640 (Intel Xeon Gold 6136, 3.00 GHz)",Yes,48,24,2,2,8.86,Not Run,--,--
Dell Inc.,"PowerEdge FC640 (Intel Xeon Gold 6138, 2.00 GHz)",Yes,80,40,2,2,8.91,Not Run,--,--
Dell Inc.,"PowerEdge FC640 (Intel Xeon Gold 6142, 2.60 GHz)",Yes,64,32,2,2,8.79,Not Run,--,--
Dell Inc.,"PowerEdge FC640 (Intel Xeon Gold 6146, 3.20 GHz)",Yes,48,24,2,2,9.72,Not Run,--,--
Dell Inc.,"PowerEdge FC640 (Intel Xeon Platinum 8160, 2.10 GHz)",Yes,96,48,2,2,9.00,Not Run,--,--
Dell Inc.,"PowerEdge FC640 (Intel Xeon Silver 4110, 2.10 GHz)",Yes,32,16,2,2,5.73,Not Run,--,--
Dell Inc.,"PowerEdge FC640 (Intel Xeon Gold 5122, 3.60 GHz)",Yes,16,8,2,2,8.40,Not Run,--,--
Dell Inc.,"PowerEdge FC640 (Intel Xeon Platinum 8164, 2.00 GHz)",Yes,104,52,2,2,9.09,Not Run,--,--
Dell Inc.,"PowerEdge FC640 (Intel Xeon Bronze 3106, 1.70 GHz)",Yes,16,16,2,1,4.21,Not Run,--,--
Dell Inc.,"PowerEdge FC640 (Intel Xeon Silver 4108, 1.80 GHz)",Yes,32,16,2,2,6.89,Not Run,--,--
Dell Inc.,"PowerEdge FC640 (Intel Xeon Gold 5115, 2.40 GHz)",Yes,40,20,2,2,7.48,Not Run,--,--
Dell Inc.,"PowerEdge FC640 (Intel Xeon Gold 6140, 2.30 GHz)",Yes,72,36,2,2,8.85,Not Run,--,--
Dell Inc.,"PowerEdge FC640 (Intel Xeon Gold 6144, 3.50 GHz)",Yes,32,16,2,2,9.78,Not Run,--,--
Dell Inc.,"PowerEdge FC640 (Intel Xeon Gold 6148, 2.40 GHz)",Yes,80,40,2,2,8.92,Not Run,--,--
Dell Inc.,"PowerEdge FC640 (Intel Xeon Platinum 8168, 2.70 GHz)",Yes,96,48,2,2,9.04,Not Run,--,--
Dell Inc.,"PowerEdge FC640 (Intel Xeon Gold 5120, 2.20 GHz)",Yes,56,28,2,2,7.69,Not Run,--,--
Dell Inc.,"PowerEdge FC640 (Intel Xeon Gold 6128, 3.40 GHz)",Yes,24,12,2,2,8.55,Not Run,--,--
Dell Inc.,"PowerEdge FC640 (Intel Xeon Gold 6150, 2.70 GHz)",Yes,72,36,2,2,8.90,Not Run,--,--
Dell Inc.,"PowerEdge FC640 (Intel Xeon Gold 6152, 2.10 GHz)",Yes,88,44,2,2,8.72,Not Run,--,--
Dell Inc.,"PowerEdge M640 (Intel Xeon Silver 4112, 2.60Ghz)",Yes,16,8,2,2,6.71,Not Run,--,--
Dell Inc.,"PowerEdge M640 (Intel Xeon Platinum 8170, 2.10Ghz)",Yes,104,52,2,2,9.06,Not Run,--,--
Dell Inc.,"PowerEdge M640 (Intel Xeon Platinum 8168, 2.70Ghz)",Yes,96,48,2,2,8.97,Not Run,--,--
Dell Inc.,"PowerEdge M640 (Intel Xeon Silver 4110, 2.10Ghz)",Yes,32,16,2,2,6.89,Not Run,--,--
Dell Inc.,"PowerEdge M640 (Intel Xeon Platinum 8164, 2.00Ghz)",Yes,104,52,2,2,9.04,Not Run,--,--
Dell Inc.,"PowerEdge M640 (Intel Xeon Silver 4109T, 2.00Ghz)",Yes,32,16,2,2,6.86,Not Run,--,--
Dell Inc.,"PowerEdge M640 (Intel Xeon Platinum 8153, 2.00Ghz)",Yes,64,32,2,2,6.97,Not Run,--,--
Dell Inc.,"PowerEdge M640 (Intel Xeon Gold 6152, 2.10Ghz)",Yes,88,44,2,2,8.93,Not Run,--,--
Dell Inc.,"PowerEdge M640 (Intel Xeon Silver 4108, 1.80Ghz)",Yes,32,16,2,2,6.84,Not Run,--,--
Dell Inc.,"PowerEdge M640 (Intel Xeon Gold 6150, 2.70Ghz)",Yes,72,36,2,2,8.57,Not Run,--,--
Dell Inc.,"PowerEdge M640 (Intel Xeon Bronze 3106, 1.70Ghz)",Yes,16,16,2,1,4.18,Not Run,--,--
Dell Inc.,"PowerEdge M640 (Intel Xeon Bronze 3104, 1.70Ghz)",Yes,12,12,2,1,4.04,Not Run,--,--
Dell Inc.,"PowerEdge C6420 (Intel Xeon Platinum 8164, 2.00Ghz)",Yes,104,52,2,2,5.27,Not Run,--,--
Dell Inc.,"PowerEdge M640 (Intel Xeon Gold 6140, 2.30 GHz)",Yes,72,36,2,2,8.79,Not Run,--,--
Dell Inc.,"PowerEdge M640 (Intel Xeon Gold 6146, 3.20Ghz)",Yes,48,24,2,2,9.74,Not Run,--,--
Dell Inc.,"PowerEdge M640 (Intel Xeon Gold 6144, 3.50Ghz)",Yes,32,16,2,2,9.66,Not Run,--,--
Dell Inc.,"PowerEdge M640 (Intel Xeon Gold 6142, 2.60Ghz)",Yes,64,32,2,2,8.78,Not Run,--,--
Dell Inc.,"PowerEdge M640 (Intel Xeon Gold 6138, 2.00Ghz)",Yes,80,40,2,2,8.90,Not Run,--,--
Dell Inc.,"PowerEdge M640 (Intel Xeon Gold 6136, 3.00 GHz)",Yes,48,24,2,2,8.81,Not Run,--,--
Dell Inc.,"PowerEdge M640 (Intel Xeon Gold 6134, 3.20Ghz)",Yes,32,16,2,2,8.77,Not Run,--,--
Dell Inc.,"PowerEdge M640 (Intel Xeon Gold 6132, 2.60Ghz)",Yes,56,28,2,2,8.60,Not Run,--,--
Dell Inc.,"PowerEdge M640 (Intel Xeon Gold 6128, 3.40Ghz)",Yes,24,12,2,2,8.50,Not Run,--,--
Dell Inc.,"PowerEdge M640 (Intel Xeon Gold 6126, 2.60 GHz)",Yes,48,24,2,2,8.60,Not Run,--,--
Dell Inc.,"PowerEdge C6420 (Intel Xeon Platinum 8153, 2.00 GHz)",Yes,64,32,2,2,6.93,7.12,--,--
Dell Inc.,"PowerEdge C6420 (Intel Xeon Silver 4109T, 2.00 GHz)",Yes,32,16,2,2,6.90,7.10,--,--
Dell Inc.,"PowerEdge C6420 (Intel Xeon Gold 6144, 3.50 GHz)",Yes,16,16,2,1,9.62,9.93,--,--
Dell Inc.,"PowerEdge FC640 (Intel Xeon Platinum 8170, 2.10 GHz)",Yes,104,52,2,2,9.05,9.33,--,--
Dell Inc.,"PowerEdge C6420 (Intel Xeon Silver 4116, 2.10 GHz)",Yes,24,24,2,1,7.05,7.28,--,--
Dell Inc.,"PowerEdge C6420 (Intel Xeon Silver 4110, 2.10 GHz)",Yes,32,16,2,2,6.92,7.12,--,--
Dell Inc.,"PowerEdge M640 (Intel Xeon Platinum 8176, 2.10 GHz)",Yes,112,56,2,2,9.28,9.54,--,--
Dell Inc.,"PowerEdge FC640 (Intel Xeon Platinum 8176, 2.10 GHz)",Yes,112,56,2,2,9.30,9.57,--,--
Dell Inc.,"PowerEdge C6420 (Intel Xeon Platinum 8168, 2.70 GHz)",Yes,96,48,2,2,8.99,9.22,--,--
Dell Inc.,"PowerEdge C6420 (Intel Xeon Gold 6128, 3.40 GHz)",Yes,12,12,2,1,8.33,8.56,--,--
Dell Inc.,"PowerEdge C6420 (Intel Xeon Platinum 8170, 2.10 GHz)",Yes,52,52,2,1,9.04,9.32,--,--
Dell Inc.,"PowerEdge C6420 (Intel Xeon Platinum 8176, 2.10 GHz)",Yes,56,56,2,1,9.22,9.48,--,--
Dell Inc.,"PowerEdge C6420 (Intel Xeon Platinum 8160, 2.10 GHz)",Yes,96,48,2,2,8.97,9.25,--,--
Dell Inc.,"PowerEdge M640 (Intel Xeon Gold 6140, 2.30 GHz)",Yes,72,36,2,2,8.84,9.08,--,--
Dell Inc.,"PowerEdge C6420 (Intel Xeon Gold 6148, 2.40 GHz)",Yes,40,40,2,1,8.90,9.19,--,--
Dell Inc.,"PowerEdge C6420 (Intel Xeon Gold 6150, 2.70 GHz)",Yes,72,36,2,2,8.80,9.05,--,--
Dell Inc.,"PowerEdge C6420 (Intel Xeon Gold 6132, 2.60 GHz)",Yes,28,28,2,1,8.60,8.87,--,--
Dell Inc.,"PowerEdge C6420 (Intel Xeon Gold 5120, 2.20 GHz)",Yes,28,28,2,1,7.41,7.64,--,--
Dell Inc.,"PowerEdge C6420 (Intel Xeon Gold 6146, 3.20 GHz)",Yes,48,24,2,2,9.74,10.0&nbsp;,--,--
Dell Inc.,"PowerEdge M640 (Intel Xeon Gold 6130, 2.10 GHz)",Yes,64,32,2,2,8.77,9.02,--,--
Dell Inc.,"PowerEdge C6420 (Intel Xeon Gold 5115, 2.40 GHz)",Yes,40,20,2,2,7.45,7.65,--,--
Dell Inc.,"PowerEdge C6420 (Intel Xeon Silver 4108, 1.80 GHz)",Yes,16,16,2,1,6.82,7.05,--,--
Dell Inc.,"PowerEdge M640 (Intel Xeon Bronze 3104, 1.70 GHz)",Yes,12,12,2,1,4.04,4.17,--,--
Dell Inc.,"PowerEdge C6420 (Intel Xeon Silver 4114, 2.20 GHz)",Yes,40,20,2,2,7.03,7.24,--,--
Dell Inc.,"PowerEdge R740xd (Intel Xeon Platinum 8164, 2.00GHz)",Yes,52,52,2,1,9.01,9.32,--,--
Dell Inc.,"PowerEdge R740xd (Intel Xeon Silver 4109T, 2.00GHz)",Yes,16,16,2,1,6.84,7.03,--,--
Dell Inc.,"PowerEdge R740xd (Intel Xeon Gold 6126, 2.60GHz)",Yes,24,24,2,1,8.60,8.86,--,--
Dell Inc.,"PowerEdge R740xd (Intel Xeon Gold 5120, 2.20GHz)",Yes,28,28,2,1,7.63,7.84,--,--
Dell Inc.,"PowerEdge R740xd (Intel Xeon Gold 6126, 2.60GHz)",Yes,24,24,2,1,8.63,8.86,--,--
Dell Inc.,"PowerEdge R740xd (Intel Xeon Silver 4116, 2.10GHz)",Yes,24,24,2,1,7.06,7.28,--,--
Dell Inc.,"PowerEdge R740xd (Intel Xeon Gold 5115, 2.40GHz)",Yes,20,20,2,1,7.42,7.68,--,--
Dell Inc.,"PowerEdge R740xd (Intel Xeon Gold 5122, 3.60GHz)",Yes,8,8,2,1,8.15,8.40,--,--
Dell Inc.,"PowerEdge R740xd (Intel Xeon Gold 6137, 3.90GHz)",Yes,16,16,2,1,9.45,9.75,--,--
Dell Inc.,"PowerEdge R740xd (Intel Xeon Gold 6138, 2.00GHz)",Yes,40,40,2,1,8.88,9.14,--,--
Dell Inc.,"PowerEdge R740xd (Intel Xeon Gold 6136, 3.00GHz)",Yes,24,24,2,1,8.79,9.06,--,--
Dell Inc.,"PowerEdge R740xd (Intel Xeon Gold 6140, 2.30GHz)",Yes,36,36,2,1,8.78,9.05,--,--
Dell Inc.,"PowerEdge R740xd (Intel Xeon Gold 6136, 3.00GHz)",Yes,48,24,2,1,8.78,9.02,--,--
Dell Inc.,"PowerEdge R740xd (Intel Xeon Gold 6146, 3.20GHz)",Yes,24,24,2,1,9.68,9.98,--,--
Dell Inc.,"PowerEdge R740xd (Intel Xeon Silver 4114, 2.20GHz)",Yes,20,20,2,1,6.97,7.22,--,--
Dell Inc.,"PowerEdge R740xd (Intel Xeon Platinum 8180, 2.50GHz)",Yes,56,56,2,1,9.25,9.55,--,--
Dell Inc.,"PowerEdge R740xd (Intel Xeon Bronze 3106, 1.70GHz)",Yes,16,16,2,1,4.18,4.32,--,--
Dell Inc.,"PowerEdge R740xd (Intel Xeon Platinum 8160, 2.10GHz)",Yes,48,48,2,1,8.96,9.23,--,--
Dell Inc.,"PowerEdge R740xd (Intel Xeon Platinum 8153, 2.00GHz)",Yes,32,32,2,1,6.90,7.14,--,--
Dell Inc.,"PowerEdge R740xd (Intel Xeon Platinum 8176, 2.10GHz)",Yes,56,56,2,1,9.26,9.55,--,--
Dell Inc.,"PowerEdge R740xd (Intel Xeon Platinum 8170, 2.10GHz)",Yes,52,52,2,1,9.03,9.33,--,--
Dell Inc.,"PowerEdge R740xd (Intel Xeon Gold 6144, 3.50GHz)",Yes,16,16,2,1,9.64,9.90,--,--
Dell Inc.,"PowerEdge R740xd (Intel Xeon Gold 6154, 3.00GHz)",Yes,36,36,2,1,8.82,9.07,--,--
Dell Inc.,"PowerEdge R740xd (Intel Xeon Gold 6128, 3.40GHz)",Yes,12,12,2,1,8.34,8.58,--,--
Dell Inc.,"PowerEdge R740xd (Intel Xeon Gold 6132, 2.60GHz)",Yes,28,28,2,1,8.62,8.88,--,--
